Train Size,Base NN Mean,Base NN Std,KENN Mean,KENN Std,Delta,p-value (t-test),Significant
10%,0.6207,0.0619,0.4966,0.0525,-0.1241,0.000007,Yes
50%,0.7138,0.0317,0.6966,0.0447,-0.0172,0.322121,No
